,ts,px,py,pz,rw,rx,ry,rz
0,0.0,0.012206,0.0058579999999999995,0.006851,0.756999,0.652713,-0.009898,0.028648000000000003
1,0.01,0.012202,0.005841,0.006852,0.7569640000000001,0.652755,-0.010020000000000001,0.028572000000000004
2,0.02,0.012195999999999999,0.005823,0.006853,0.756935,0.65279,-0.010147,0.028488
3,0.03,0.012191,0.005804,0.006853,0.7569170000000001,0.652813,-0.010265,0.028411000000000002
4,0.04,0.012186,0.005784,0.006852,0.756899,0.652835,-0.010388,0.028332
5,0.05,0.012181,0.005763,0.006851,0.756876,0.652863,-0.010512,0.028239999999999998
6,0.06,0.012176000000000001,0.005743,0.006848999999999999,0.756855,0.652889,-0.010634999999999999,0.028151
7,0.07,0.012171,0.005723,0.006848000000000001,0.75683,0.652921,-0.010754000000000001,0.028055
8,0.08,0.012172,0.005698,0.006845,0.7568020000000001,0.6529560000000001,-0.010879999999999999,0.027941000000000004
9,0.09,0.012172,0.005675,0.006843000000000001,0.756763,0.653004,-0.011005,0.027829000000000003
10,0.1,0.012173,0.0056549999999999994,0.006841,0.756732,0.653042,-0.011129,0.027729000000000004
11,0.11,0.012173999999999999,0.005637,0.0068379999999999995,0.756709,0.653071,-0.011249,0.027629
12,0.12,0.012175,0.005622,0.006834999999999999,0.756687,0.653099,-0.011359999999999999,0.027527999999999997
13,0.13,0.012176000000000001,0.00561,0.006833,0.7566729999999999,0.653118,-0.011470999999999999,0.027426
14,0.14,0.012177,0.005602,0.00683,0.756659,0.6531359999999999,-0.011593000000000001,0.027315
15,0.15,0.012179,0.005595,0.006828,0.756646,0.653154,-0.011709,0.027205
16,0.16,0.012181,0.005589,0.0068260000000000005,0.756637,0.653167,-0.01183,0.027093
17,0.17,0.012183,0.005584,0.006823999999999999,0.756625,0.653183,-0.011962,0.026972000000000003
18,0.18,0.012185,0.00558,0.006823,0.756617,0.653195,-0.012098999999999999,0.026839
19,0.19,0.012187,0.0055780000000000005,0.006822,0.7566109999999999,0.653204,-0.012256,0.026712
