,ts,ax,ay,az,wx,wy,wz
0,0.0,-0.1362565703298412,0.00021867149111570543,6.547260700774082,-0.0029561992307389623,-0.0017481428752297269,-0.0017481428752297269
1,0.01,-0.02322127319892084,-0.014567227088449297,1.3380258523045745,-0.0016138704937633669,-0.0020313520705390387,-0.0020313520705390387
2,0.02,0.04389447450029384,0.013473679902470862,-1.8198794827939735,-0.003924223770350466,-0.00018151410006073376,-0.00018151410006073376
3,0.03,0.06862013325656553,0.020562721561713362,-3.46931755235364,-0.0034717528745857565,-0.001526037815496711,-0.001526037815496711
4,0.04,0.06735765425857804,-0.003758650077855746,-3.9735931420622004,-0.0039433665711210075,-0.0028403636267723283,-0.0028403636267723283
5,0.05,0.0785468731292071,-0.016262673363648755,-3.641401170482553,-0.0034418563948878968,-0.003243874836299165,-0.003243874836299165
6,0.06,0.08144958207501071,-0.017829880583293222,-2.8433855593562054,-0.0028153907702049745,-0.0023669581300915657,-0.0023669581300915657
7,0.07,0.026967655017719944,0.014191349562918011,-1.899543361177416,-0.002650372285868863,-0.0015065649145355401,-0.0015065649145355401
8,0.08,-0.008156582306409747,0.007866440167602563,-0.9381409948831458,-0.001651251847925701,-0.0015125744445026194,-0.0015125744445026194
9,0.09,-0.008453093700516206,0.014664282230766622,0.03523051751339623,-0.0014911326770584142,-0.0014728234828112485,-0.0014728234828112485
10,0.1,-0.002134602305434054,-0.0040708861870043175,0.9765464779491106,-0.0018921835984715039,-0.0022670522722032685,-0.0022670522722032685
11,0.11,-0.01746432456659517,-0.03248148945495463,1.7781144072408854,-0.0018247500586738414,-0.0020238997730881504,-0.0020238997730881504
12,0.12,-0.051978621111572657,-0.021142536411333724,2.3060892430887034,-0.004298344887835786,-0.0018706726862989164,-0.0018706726862989164
13,0.13,-0.06480593515384546,0.018591580301345046,2.552310268354626,-0.00505769290769806,-0.0002812959160841701,-0.0002812959160841701
14,0.14,-0.058428915710954064,0.04241079770164377,2.6731081463713267,-0.0021688809821574936,0.0008755525753743043,0.0008755525753743043
15,0.15,-0.04557632073464069,-0.0063281297788115535,2.7106886528766254,-0.002179049056120012,-0.0014927830047037965,-0.0014927830047037965
16,0.16,-0.04741405917205063,-0.0260364165734571,2.6141533248567814,-0.0036668268094521782,-0.0023827064853875657,-0.0023827064853875657
17,0.17,-0.047164270736426185,-0.006201479020030205,2.2972916780038624,-0.004974703961613082,-0.001551070269755924,-0.001551070269755924
18,0.18,-0.042284129899617856,0.03062427382437368,1.834296851328061,-0.002997064899518668,-0.002767336132076453,-0.002767336132076453
19,0.19,-0.028471955895027382,0.014009278401812542,1.3510029965533745,-0.0012556302479544553,-0.002513404979166293,-0.002513404979166293
20,0.2,-0.009302034732076546,-0.01592328199125392,0.9123448165278314,-0.0011855271135905296,-0.0018684242841183925,-0.0018684242841183925
21,0.21,0.003600329317368499,-0.027277876320020072,0.48118010445779613,-0.003448409993216014,-0.0015900697686964073,-0.0015900697686964073
22,0.22,-0.006486229407473634,-0.006911675510087863,-0.04305743092503744,-0.003959956911702232,-0.002311602144250986,-0.002311602144250986
23,0.23,-0.006404039785197421,0.0269173027727577,-0.577584445645091,-0.0036091420709562436,-0.0019293253566479692,-0.0019293253566479692
24,0.24,0.02260561712996093,0.015519603710931857,-1.0436141854968075,-0.003132978301080432,-0.0008084792817179191,-0.0008084792817179191
25,0.25,0.037489971856573864,-0.007956699015755466,-1.3450062567730305,-0.0026791676884271,-0.001078082206102606,-0.001078082206102606
26,0.26,0.04616436557077705,-0.03720630210432341,-1.5575335976999978,-0.0034900627693985244,-0.003184994874910862,-0.003184994874910862
27,0.27,0.030836769462760875,0.0009068401162327048,-1.7967064888181583,-0.003053793695443941,-0.0008922990311172035,-0.0008922990311172035
28,0.28,0.03199041852463205,0.03076991515142028,-2.032011587558971,-0.003693932686843243,0.0011329666588193025,0.0011329666588193025
29,0.29,0.03827502424704955,0.02118781043613798,-2.1429852006226935,-0.002538485708325179,-0.0023069446089373337,-0.0023069446089373337
30,0.3,0.039561577209224645,-0.019488335667840893,-2.0883734960065734,-0.0031171093510647336,-0.002729380557330988,-0.002729380557330988
31,0.31,0.040690289116486866,-0.022194394599071993,-1.9688440218249996,-0.004186622204267063,-0.00097839496380313,-0.00097839496380313
32,0.32,0.04022690387489075,0.007648082618752768,-1.860740634832912,-0.004272245524227356,-0.0013848321309879875,-0.0013848321309879875
33,0.33,0.032247658217072706,0.011715228039930295,-1.7688457951231558,-0.004805265315974183,-0.0005523588640995946,-0.0005523588640995946
34,0.34,0.02413617111908117,0.019728206204565953,-1.5797058269384638,-0.002875059250439159,-0.0012938690954293276,-0.0012938690954293276
35,0.35,0.03480839273110231,-0.021332048519991716,-1.2716038165165329,-0.0020291582259407523,-0.0022973675849520844,-0.0022973675849520844
36,0.36,0.028664580226679264,-0.03192870272508465,-0.922296251804809,-0.0030155423743658464,-0.0016314554621988419,-0.0016314554621988419
37,0.37,0.009091743018640694,-0.007339217855056184,-0.6373632170396594,-0.0030765205460970245,-0.0008219804193356546,-0.0008219804193356546
38,0.38,-0.00797496955333043,0.04523885971442548,-0.4158286345616766,-0.003412514509010077,-0.002174749020520691,-0.002174749020520691
39,0.39,-0.0015319389620177442,0.028219848823040315,-0.13381532260592222,-0.002787126847391077,-0.0023148312004601925,-0.0023148312004601925
40,0.4,0.004829502071727044,-0.02314468178815591,0.2030559786739944,-0.0035505364526887562,-0.0024825284110998893,-0.0024825284110998893
41,0.41,-0.004582168729928757,-0.02784514533984409,0.5606170047895169,-0.00587272552211149,-0.001752022806375872,-0.001752022806375872
42,0.42,-0.013497457851092248,-0.0034943355673656296,0.7935978395933503,-0.005232774951121322,-0.0014196878258454333,-0.0014196878258454333
43,0.43,-0.035351643412693576,0.027371169970781588,0.9408941427407287,-0.005164382478812072,-0.0017379255462496464,-0.0017379255462496464
44,0.44,-0.026610530491955272,0.006596066091062447,1.1043860760379245,-0.0036810992394756404,-0.0028486176478252816,-0.0028486176478252816
45,0.45,-0.022696708501510763,-0.00860753018937116,1.333676722545514,-0.00424140750916912,-0.002696067539609313,-0.002696067539609313
46,0.46,-0.013627842853262153,-0.02223436536708583,1.521610611971608,-0.0036746811431526733,-0.003068674764162932,-0.003068674764162932
47,0.47,-0.030840329738924706,-0.00629203052992641,1.5852309380646727,-0.0032103585237750376,-0.0007299913736450548,-0.0007299913736450548
48,0.48,-0.04664820823273383,0.013891335308879062,1.5566112870483284,-0.002608750218056289,-0.0014447382514877392,-0.0014447382514877392
49,0.49,-0.03231783356778061,0.02762337652475583,1.5296387717184654,-0.0022750209444821648,-0.003025186136782022,-0.003025186136782022
50,0.5,-0.016398879719664226,-0.01320680255547873,1.5641565669132265,-0.001366199063874985,-0.0017098354641316821,-0.0017098354641316821
51,0.51,-0.009037347129635456,-0.043529860063249604,1.55729673397791,-0.003544966240177485,-0.0004702183060489834,-0.0004702183060489834
52,0.52,-0.03937192159040857,0.0013692057325914164,1.4595353270262836,-0.004291903370907671,-0.0021646620139426477,-0.0021646620139426477
53,0.53,-0.04540695669108166,0.032990372798702414,1.2475590985529814,-0.005248636889512906,-0.0010732932888076342,-0.0010732932888076342
